City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sechura,-5.5569,-80.8222,26.92,56,89,3.97,PE,1690395484
1,edinburgh of the seven seas,-37.0676,-12.3116,10.43,52,88,8.12,SH,1690395484
2,margaret river,-33.95,115.0667,12.81,74,100,9.03,AU,1690395400
3,adamstown,-25.066,-130.1015,19.93,72,81,8.81,PN,1690395485
4,blackmans bay,-43.0167,147.3167,9.83,83,100,2.5,AU,1690395415
5,tazovsky,67.4667,78.7,16.6,73,57,4.4,RU,1690395236
6,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1690395238
7,tiksi,71.6872,128.8694,4.04,87,37,2.31,RU,1690395463
8,lihue,21.9789,-159.3672,26.77,82,75,7.2,US,1690395410
9,port-aux-francais,-49.35,70.2167,5.47,82,92,20.2,TF,1690395422
10,invercargill,-46.4,168.35,6.07,80,97,11.63,NZ,1690395427
11,cabo san lucas,22.8909,-109.9124,34.78,68,40,5.14,MX,1690395360
12,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,20,3.0,RU,1690395464
13,avarua,-21.2078,-159.775,20.03,94,100,1.03,CK,1690395488
14,nar'yan-mar,67.6713,53.087,18.02,72,100,2.18,RU,1690395488
15,papatowai,-46.5619,169.4708,5.42,90,100,12.14,NZ,1690395488
16,lagos,6.5833,3.75,28.18,87,42,3.09,NG,1690395489
17,san antonio de pale,-1.4014,5.6325,23.03,90,75,5.54,GQ,1690395489
18,cadale,2.7603,46.3222,25.04,81,37,8.0,SO,1690395489
19,albany,42.6001,-73.9662,30.57,61,2,0.45,US,1690395387
20,ola,59.5833,151.2833,11.98,96,100,1.96,RU,1690395490
21,klyuchi,52.2667,79.1667,22.14,37,87,3.45,RU,1690395490
22,cururupu,-1.8283,-44.8683,30.61,57,34,3.33,BR,1690395491
23,sur,22.5667,59.5289,29.48,70,88,5.32,OM,1690395491
24,khandyga,62.6667,135.6,13.52,64,15,3.87,RU,1690395491
25,grytviken,-54.2811,-36.5092,-1.58,95,95,3.9,GS,1690395422
26,greymouth,-42.4667,171.2,8.54,74,84,8.24,NZ,1690395492
27,huilong,31.8111,121.655,27.74,90,77,5.5,CN,1690395492
